id,chart_week_id,rank,rank_change,points,points_change_pct,peak,woc,sales,sales_share_pct,streams,streams_share_pct,airplay,airplay_share_pct,units,song_id,created_at
176,2,76,0,43,,76,1,500,1.0,5200000,84.0,5300000,15.0,35500,99,2025-08-20 02:55:09
177,2,77,0,43,,77,1,8000,18.0,4800000,82.0,0,0.0,42900,104,2025-08-20 02:55:09
178,2,78,0,43,,78,1,8000,18.0,4800000,82.0,0,0.0,42900,105,2025-08-20 02:55:09
179,2,79,-3,43,-3.0,32,11,600,1.0,6000000,98.0,100000,0.0,41600,76,2025-08-20 02:55:09
180,2,80,-1,43,-1.0,79,4,200,1.0,6100000,99.0,0,0.0,42400,79,2025-08-20 02:55:09
181,2,81,4,43,1.0,4,21,100,0.0,3000000,48.0,17600000,52.0,20100,106,2025-08-20 02:55:09
182,2,82,5,42,4.0,82,5,900,2.0,4200000,64.0,11400000,34.0,26300,85,2025-08-20 02:55:09
183,2,83,0,42,-1.0,83,3,100,0.0,6900000,99.0,100000,0.0,41000,87,2025-08-20 02:55:09
184,2,84,-36,42,-44.0,28,20,4500,10.0,5700000,87.0,1100000,3.0,39100,48,2025-08-20 02:55:09
185,2,85,6,41,3.0,64,12,100,0.0,5900000,95.0,1600000,5.0,38100,107,2025-08-20 02:55:09
186,2,86,6,41,3.0,22,17,200,0.0,3700000,61.0,12600000,38.0,24400,92,2025-08-20 02:55:09
187,2,87,-1,41,0.0,82,9,600,2.0,3100000,42.0,18600000,57.0,15700,91,2025-08-20 02:55:09
188,2,88,0,41,0.0,24,29,100,0.0,4200000,70.0,9700000,30.0,28300,86,2025-08-20 02:55:09
189,2,89,-11,40,-9.0,40,25,1500,4.0,4800000,80.0,5200000,16.0,32200,78,2025-08-20 02:55:09
190,2,90,0,40,,90,1,500,1.0,5300000,99.0,0,0.0,39700,108,2025-08-20 02:55:09
191,2,91,2,39,-2.0,42,8,200,0.0,3800000,56.0,13600000,44.0,20400,90,2025-08-20 02:55:09
192,2,92,-11,39,-9.0,81,5,100,0.0,5500000,85.0,4500000,14.0,32900,81,2025-08-20 02:55:09
193,2,93,0,39,,93,1,100,0.0,5200000,100.0,0,0.0,38800,109,2025-08-20 02:55:09
194,2,94,0,39,,94,1,0,0.0,5100000,100.0,0,0.0,38600,110,2025-08-20 02:55:09
195,2,95,-5,39,-4.0,51,16,100,0.0,4400000,69.0,9400000,30.0,26300,111,2025-08-20 02:55:09
196,2,96,0,37,,96,1,200,0.0,5000000,100.0,0,0.0,36900,112,2025-08-20 02:55:09
197,2,97,0,37,,97,1,1000,3.0,2900000,52.0,13200000,45.0,19800,113,2025-08-20 02:55:09
198,2,98,2,37,0.0,65,8,100,0.0,5900000,100.0,0,0.0,36400,98,2025-08-20 02:55:09
199,2,99,0,36,,99,1,100,0.0,4000000,67.0,9500000,33.0,23800,114,2025-08-20 02:55:09
200,2,100,-16,36,-14.0,84,2,200,1.0,500000,9.0,26100000,90.0,3500,83,2025-08-20 02:55:09
